"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 03 10:36:12 GMT 2025","Thu Jul 03 10:36:24 GMT 2025","12258","All Test Suite","D:/API_Shaila/RestAssured/May25API_OrangeHRM/src/test/java/testScripts/VerifyWidgetTest.java","testScripts.VerifyWidgetTest","testScripts.VerifyWidgetTest","VerifyWidget","VerifyWidget",""
"passed","Thu Jul 03 10:36:24 GMT 2025","Thu Jul 03 10:36:33 GMT 2025","8775","All Test Suite","D:/API_Shaila/RestAssured/May25API_OrangeHRM/src/test/java/testScripts/VerifyWidgetTest.java","testScripts.VerifyWidgetTest","testScripts.VerifyWidgetTest","verifySkillsAscending","verifySkillsAscending",""
"passed","Thu Jul 03 10:35:54 GMT 2025","Thu Jul 03 10:36:11 GMT 2025","17585","All Test Suite","D:/API_Shaila/RestAssured/May25API_OrangeHRM/src/test/java/testScripts/VerifyVendorTestCase.java","testScripts.VerifyVendorTestCase","testScripts.VerifyVendorTestCase","createVendor","createVendor",""
