"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 04 17:33:07 GMT 2025","Fri Jul 04 17:33:08 GMT 2025","1193","All Test Suite","D:/API_Shaila/RestAssured/May25API_OrangeHRM/src/test/java/testScripts/VerifyWidgetTest.java","testScripts.VerifyWidgetTest","testScripts.VerifyWidgetTest","verifySkillsAscending","verifySkillsAscending",""
"passed","Fri Jul 04 17:33:08 GMT 2025","Fri Jul 04 17:33:10 GMT 2025","1310","All Test Suite","D:/API_Shaila/RestAssured/May25API_OrangeHRM/src/test/java/testScripts/VerifyVendorTestCase.java","testScripts.VerifyVendorTestCase","testScripts.VerifyVendorTestCase","createVendor","createVendor",""
"passed","Fri Jul 04 17:33:04 GMT 2025","Fri Jul 04 17:33:06 GMT 2025","1846","All Test Suite","D:/API_Shaila/RestAssured/May25API_OrangeHRM/src/test/java/testScripts/BrandsTestCases.java","testScripts.BrandsTestCases","testScripts.BrandsTestCases","createBrands","createBrands",""
"passed","Fri Jul 04 17:33:06 GMT 2025","Fri Jul 04 17:33:07 GMT 2025","1373","All Test Suite","D:/API_Shaila/RestAssured/May25API_OrangeHRM/src/test/java/testScripts/VerifyWidgetTest.java","testScripts.VerifyWidgetTest","testScripts.VerifyWidgetTest","VerifyWidget","VerifyWidget",""
