"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 04 17:22:54 GMT 2025","Fri Jul 04 17:22:56 GMT 2025","1742","All Test Suite","D:/API_Shaila/RestAssured/May25API_OrangeHRM/src/test/java/testScripts/VerifyWidgetTest.java","testScripts.VerifyWidgetTest","testScripts.VerifyWidgetTest","VerifyWidget","VerifyWidget",""
"passed","Fri Jul 04 17:22:58 GMT 2025","Fri Jul 04 17:23:00 GMT 2025","1787","All Test Suite","D:/API_Shaila/RestAssured/May25API_OrangeHRM/src/test/java/testScripts/VerifyVendorTestCase.java","testScripts.VerifyVendorTestCase","testScripts.VerifyVendorTestCase","createVendor","createVendor",""
"passed","Fri Jul 04 17:22:52 GMT 2025","Fri Jul 04 17:22:54 GMT 2025","2308","All Test Suite","D:/API_Shaila/RestAssured/May25API_OrangeHRM/src/test/java/testScripts/BrandsTestCases.java","testScripts.BrandsTestCases","testScripts.BrandsTestCases","createBrands","createBrands",""
"passed","Fri Jul 04 17:22:56 GMT 2025","Fri Jul 04 17:22:58 GMT 2025","1718","All Test Suite","D:/API_Shaila/RestAssured/May25API_OrangeHRM/src/test/java/testScripts/VerifyWidgetTest.java","testScripts.VerifyWidgetTest","testScripts.VerifyWidgetTest","verifySkillsAscending","verifySkillsAscending",""
