"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 04 12:22:46 GMT 2025","Fri Jul 04 12:22:47 GMT 2025","1212","All Test Suite","D:/API_Shaila/RestAssured/May25API_OrangeHRM/src/test/java/testScripts/VerifyWidgetTest.java","testScripts.VerifyWidgetTest","testScripts.VerifyWidgetTest","verifySkillsAscending","verifySkillsAscending",""
"passed","Fri Jul 04 12:22:43 GMT 2025","Fri Jul 04 12:22:45 GMT 2025","2001","All Test Suite","D:/API_Shaila/RestAssured/May25API_OrangeHRM/src/test/java/testScripts/VerifyVendorTestCase.java","testScripts.VerifyVendorTestCase","testScripts.VerifyVendorTestCase","createVendor","createVendor",""
"passed","Fri Jul 04 12:22:45 GMT 2025","Fri Jul 04 12:22:46 GMT 2025","1357","All Test Suite","D:/API_Shaila/RestAssured/May25API_OrangeHRM/src/test/java/testScripts/VerifyWidgetTest.java","testScripts.VerifyWidgetTest","testScripts.VerifyWidgetTest","VerifyWidget","VerifyWidget",""
