"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 04 17:36:11 GMT 2025","Fri Jul 04 17:36:12 GMT 2025","1584","All Test Suite","D:/API_Shaila/RestAssured/May25API_OrangeHRM/src/test/java/testScripts/VerifyVendorTestCase.java","testScripts.VerifyVendorTestCase","testScripts.VerifyVendorTestCase","createVendor","createVendor",""
"passed","Fri Jul 04 17:36:06 GMT 2025","Fri Jul 04 17:36:08 GMT 2025","2060","All Test Suite","D:/API_Shaila/RestAssured/May25API_OrangeHRM/src/test/java/testScripts/BrandsTestCases.java","testScripts.BrandsTestCases","testScripts.BrandsTestCases","createBrands","createBrands",""
"passed","Fri Jul 04 17:36:09 GMT 2025","Fri Jul 04 17:36:11 GMT 2025","1418","All Test Suite","D:/API_Shaila/RestAssured/May25API_OrangeHRM/src/test/java/testScripts/VerifyWidgetTest.java","testScripts.VerifyWidgetTest","testScripts.VerifyWidgetTest","verifySkillsAscending","verifySkillsAscending",""
"passed","Fri Jul 04 17:36:08 GMT 2025","Fri Jul 04 17:36:09 GMT 2025","1476","All Test Suite","D:/API_Shaila/RestAssured/May25API_OrangeHRM/src/test/java/testScripts/VerifyWidgetTest.java","testScripts.VerifyWidgetTest","testScripts.VerifyWidgetTest","VerifyWidget","VerifyWidget",""
