"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jul 02 09:44:01 GMT 2025","Wed Jul 02 09:44:26 GMT 2025","24545","Surefire suite","Surefire test","testScripts.VerifyWidgetTest","testScripts.VerifyWidgetTest","VerifyWidget","VerifyWidget",""
"broken","Wed Jul 02 09:44:26 GMT 2025","Wed Jul 02 09:44:34 GMT 2025","8048","Surefire suite","Surefire test","testScripts.VerifyWidgetTest","testScripts.VerifyWidgetTest","verifySkillsAscending","verifySkillsAscending",""
"failed","Wed Jul 02 09:43:05 GMT 2025","Wed Jul 02 09:44:01 GMT 2025","56447","Surefire suite","Surefire test","testScripts.VerifyVendorTestCase","testScripts.VerifyVendorTestCase","createVendor","createVendor",""
